   mu          tdec
   1.4914201E-20   1.0000055E+00
   1.4962357E-20   1.0000055E+00
   1.5010667E-20   1.0000055E+00
   1.5059134E-20   1.0000055E+00
   1.5107757E-20   1.0000055E+00
   1.5156538E-20   1.0000055E+00
   1.5205475E-20   1.0000055E+00
   1.5254571E-20   1.0000055E+00
   1.5303825E-20   1.0000055E+00
   1.5353239E-20   1.0000055E+00
   1.5402811E-20   1.0000055E+00
   1.5452544E-20   1.0000055E+00
   1.5502438E-20   1.0000055E+00
   1.5552492E-20   1.0000055E+00
   1.5602709E-20   1.0000055E+00
   1.5653087E-20   1.0000055E+00
   1.5703628E-20   1.0000055E+00
   1.5754332E-20   1.0000055E+00
   1.5805200E-20   1.0000055E+00
   1.5856232E-20   1.0000055E+00
   1.5907429E-20   1.0000055E+00
   1.5958791E-20   1.0000055E+00
   1.6010320E-20   1.0000055E+00
   1.6062014E-20   1.0000055E+00
   1.6113875E-20   1.0000055E+00
   1.6165904E-20   1.0000055E+00
   1.6218101E-20   1.0000055E+00
   1.6270466E-20   1.0000055E+00
   1.6323001E-20   1.0000055E+00
   1.6375705E-20   1.0000055E+00
   1.6428579E-20   1.0000055E+00
   1.6481624E-20   1.0000055E+00
   1.6534840E-20   1.0000055E+00
   1.6588228E-20   1.0000055E+00
   1.6641789E-20   1.0000055E+00
   1.6695522E-20   1.0000055E+00
   1.6749429E-20   1.0000055E+00
   1.6803510E-20   1.0000055E+00
   1.6857765E-20   1.0000055E+00
   1.6912196E-20   1.0000055E+00
   1.6966802E-20   1.0000055E+00
   1.7021585E-20   1.0000055E+00
   1.7076545E-20   1.0000055E+00
   1.7131682E-20   1.0000055E+00
   1.7186997E-20   1.0000055E+00
   1.7242491E-20   1.0000055E+00
   1.7298164E-20   1.0000055E+00
   1.7354016E-20   1.0000055E+00
   1.7410049E-20   1.0000055E+00
   1.7466263E-20   1.0000055E+00
   1.7522659E-20   1.0000055E+00
   1.7579236E-20   1.0000055E+00
   1.7635996E-20   1.0000055E+00
   1.7692940E-20   1.0000055E+00
   1.7750067E-20   1.0000055E+00
   1.7807379E-20   1.0000055E+00
   1.7864876E-20   1.0000055E+00
   1.7922558E-20   1.0000055E+00
   1.7980427E-20   1.0000055E+00
   1.8038483E-20   1.0000055E+00
   1.8096726E-20   1.0000055E+00
   1.8155157E-20   1.0000055E+00
   1.8213776E-20   1.0000055E+00
   1.8272585E-20   1.0000055E+00
   1.8331584E-20   1.0000055E+00
   1.8390774E-20   1.0000055E+00
   1.8450154E-20   1.0000055E+00
   1.8509726E-20   1.0000055E+00
   1.8569491E-20   1.0000055E+00
   1.8629449E-20   1.0000055E+00
   1.8689600E-20   1.0000055E+00
   1.8749945E-20   1.0000055E+00
   1.8810485E-20   1.0000055E+00
   1.8871221E-20   1.0000055E+00
   1.8932153E-20   1.0000055E+00
