nmu      tdc      omegab      d      he3      he4      li6      li7      heavy
   7.7804E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   7.9433E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   8.1096E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   8.2794E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   8.4528E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   8.6298E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   8.8105E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   8.9950E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   9.1833E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   9.3756E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   9.5719E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   9.7724E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   9.9770E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.0186E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.0399E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.0617E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.0839E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.1066E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.1298E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.1535E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.1776E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.2023E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.2274E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.2531E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.2794E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.3062E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.3335E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.3614E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.3900E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.4191E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.4488E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.4791E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.5101E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.5417E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.5740E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.6069E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.6406E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.6749E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.7100E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.7458E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.7824E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.8197E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.8578E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.8967E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.9364E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   1.9770E-14  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
